Address,Zip Code,Rental Price,Transit Score,Social Score,Grocery Score,Bedrooms,Bathrooms,Square Feet,Latitude,Longitude
"282 11th Ave, New York, NY",10001,5882,0,0,0,1,1,730,40.751883,-74.003792
"105 W 29th St, Manhattan, NY",10001,6777,0,0,0,1,1,664,40.746835,-73.990261
"335 8th Ave, New York, NY",10001,4995,0,0,0,1,1,500,40.74752,-73.997146
"776 6th Ave, New York, NY",10001,5632,0,0,0,1,1,573,40.745219,-73.990847
"284 5th Ave #3F, New York, NY",10001,3600,0,0,0,1,1,433,40.746128,-73.9866
"525 W 28th St, New York, NY",10001,4995,0,0,0,1,1,601,40.751367,-74.002939
"430 W 34th St APT 5B, New York",10001,3800,0,0,0,1,1,,40.753698,-73.99765
"312 11th Ave New York, NY",10001,5395,0,0,0,1,1,,40.752782,-74.003231
"507 W 28th St New York, NY",10001,5211,0,0,0,1,1,,40.751533,-74.002492
"300 W 30th St #10A, New York, NY",10001,5195,0,0,0,1,1,512,40.749722,-73.995674
"343 Gold St, Brooklyn, NY ",11201,3560,0,0,0,1,1,667,40.693994,-73.982802
"180 Montague St, Brooklyn, NY",11201,4149,0,0,0,1,1,518,40.693888,-73.991935
"214 Duffield St, Brooklyn, NY",11201,3923,0,0,0,1,1,662,40.691775,-73.984466
"160 Front St, Brooklyn, NY",11201,4790,0,0,0,1,1,572,40.70236,-73.987237
"55 Fleet St, Brooklyn, NY",11201,5125,0,0,0,1,1,,40.690985,-73.982202
"240 Willoughby St, Brooklyn, NY",11201,3894,0,0,0,1,1,,40.691728,-73.977982
"111 Lawrence St, Brooklyn, NY",11201,4076,0,0,0,1,1,675,40.692712,-73.985951
"196 Willoughby St, Brooklyn, NY",11201,4752,0,0,0,1,1,574,40.691983,-73.98283
"100 Willoughby St, Brooklyn, NY",11201,3821,0,0,0,1,1,495,40.692009,-73.985001
"567 Fulton St Brooklyn, NY",11201,4725,0,0,0,1,1,,40.689466,-73.982137
"937 Brooklyn Ave #1, Brooklyn, NY",11203,3500,0,0,0,1,1,,40.67576,-73.492916
"3403 Foster Ave #2G, Brooklyn, NY ",11203,3369,0,0,0,1,1,655,40.639175,-73.943962
"102 53rd St #5C, Brooklyn, NY",11203,2400,0,0,0,1,1,,40.648425,-74.02054
"149 E 56th St #2R, Brooklyn, NY",11203,2200,0,0,0,1,1,,40.653378,-73.924416
"897 New York Ave #4D, Brooklyn, NY",11203,2795,0,0,0,1,1,,40.651637,-73.946434
"906 E New York Ave #5A, Brooklyn, NY",11203,2625,0,0,0,1,1,,40.662376,-73.932578
"530 Midwood St #5J, Brooklyn, NY",11203,2666,0,0,0,1,1,,40.660355,-73.943108
"1051 New York Ave #1F, Brooklyn, NY",11203,2295,0,0,0,1,1,,40.647636,-73.945999